轮次,卖出日期,卖出价格,卖出诱因,买入日期,买入价格,买回诱因,期间绝对跌幅,波段是否有效避险
39,2020-04-03,11.67,油价击穿成本线与宏观熊市,2020-04-06,12.29,极端出清黄金坑抄底,+5.30%,❌ 踏空磨损
40,2020-04-07,12.55,油价击穿成本线与宏观熊市,2020-04-08,13.39,极端出清黄金坑抄底,+6.67%,❌ 踏空磨损
41,2020-04-09,13.27,油价击穿成本线与宏观熊市,2020-04-10,13.27,极端出清黄金坑抄底,+0.00%,❌ 踏空磨损
42,2020-04-13,13.23,油价击穿成本线与宏观熊市,2020-04-14,13.16,极端出清黄金坑抄底,-0.47%,✅ 有效
43,2020-04-15,12.55,油价击穿成本线与宏观熊市,2020-04-20,12.87,极端出清黄金坑抄底,+2.59%,❌ 踏空磨损
44,2020-04-21,12.64,油价击穿成本线与宏观熊市,2020-04-23,13.52,极端出清黄金坑抄底,+6.90%,❌ 踏空磨损
45,2020-04-24,13.55,油价击穿成本线与宏观熊市,2020-04-27,13.84,极端出清黄金坑抄底,+2.17%,❌ 踏空磨损
46,2020-04-28,14.16,油价击穿成本线与宏观熊市,2020-04-29,15.21,极端出清黄金坑抄底,+7.41%,❌ 踏空磨损
47,2020-06-25,14.99,油价击穿成本线与宏观熊市,2020-07-15,14.82,极端出清黄金坑抄底,-1.16%,✅ 有效
48,2020-07-17,14.54,油价击穿成本线与宏观熊市,2020-07-20,14.3,极端出清黄金坑抄底,-1.66%,✅ 有效
49,2020-07-21,15.16,油价击穿成本线与宏观熊市,2020-07-22,14.98,极端出清黄金坑抄底,-1.23%,✅ 有效
50,2021-04-21,19.67,微观雷达泡沫与CapEx过热,2021-05-06,21.74,突破卖出价右侧防踏空接回,+10.53%,❌ 踏空磨损
51,2021-07-09,22.03,微观雷达泡沫与CapEx过热,2021-09-20,19.93,微观雷达降温且右侧重构,-9.53%,✅ 有效
52,2025-04-07,37.64,油价击穿成本线与宏观熊市,2025-05-16,41.11,突破卖出价右侧防踏空接回,+9.24%,❌ 踏空磨损
